User_ID,Age,Gender,Browser,Time_on_Site,Pages_Visited,Session_Duration,Bounce_Rate,Device_Type,Country,Referral_Source,Previous_Purchases,Cart_Value,Discount_Applied,Ad_Clicked,Membership_Status,Preferred_Payment_Method,Purchase_Made,Time_of_Day,Feedback_Score
23,28,Male,Chrome,17.34,3,215,92.02,Tablet,India,Direct,7,14.7,No,No,Gold,Net Banking,Yes,Evening,2
24,39,Female,Firefox,12.92,11,235,4,Mobile,Canada,Direct,1,113.97,Yes,No,Gold,Net Banking,No,Evening,4
25,39,Male,Firefox,11.65,4,236,74.41,Desktop,India,Google,3,417.95,Yes,Yes,Platinum,Net Banking,No,Afternoon,3
,28,Female,Chrome,16.7,13,267,3.52,Desktop,Canada,Direct,8,212.61,Yes,No,Platinum,Credit Card,No,Morning,1
27,45,Female,Chrome,-1.21,8,158,44.51,Desktop,India,Facebook,3,321.84,No,Yes,Gold,Net Banking,No,Morning,4
28,,Male,Chrome,12.29,8,160,46.16,Tablet,Australia,Direct,6,123.82,Yes,Yes,Silver,Credit Card,Yes,Morning,3
29,33,Male,Chrome,16.69,13,354,69.62,Mobile,India,Facebook,4,328.44,No,No,Gold,Credit Card,Yes,Afternoon,5
30,34,Female,Chrome,12.98,10,355,35.24,Desktop,Australia,Facebook,1,499.99,Yes,No,Platinum,Net Banking,Yes,Morning,4
,48,Female,Safari,21.5,13,331,82.09,Tablet,USA,Facebook,7,301.69,Yes,Yes,Gold,PayPal,Yes,Evening,2
32,46,Female,Edge,11.69,13,438,,Mobile,India,Google,9,317.9,Yes,Yes,Gold,PayPal,No,Night,1
33,,Male,Chrome,12.04,17,212,34.25,Mobile,USA,Facebook,9,64.64,Yes,Yes,Platinum,UPI,Yes,Afternoon,3
34,41,Female,Safari,,6,127,,Desktop,UK,Google,1,207.66,No,Yes,Silver,Credit Card,No,Afternoon,3
35,54,Female,Chrome,11.21,2,379,68.39,Tablet,Australia,Instagram,2,431.76,Yes,No,Silver,Credit Card,No,Morning,1
36,,Female,Chrome,16.39,17,125,7.66,Desktop,India,Facebook,9,418.79,Yes,No,Platinum,PayPal,Yes,Night,4
37,34,Female,Firefox,19.04,12,286,36.31,Desktop,USA,Direct,6,265.98,Yes,No,Platinum,Credit Card,Yes,Night,2
38,31,Female,Firefox,25.77,6,328,26.69,Tablet,Canada,Instagram,4,452.69,Yes,No,Gold,PayPal,Yes,Night,5
39,,Female,Firefox,17.89,5,506,22.93,Desktop,USA,Instagram,9,80.04,No,Yes,Platinum,UPI,Yes,Evening,4
40,34,Female,Firefox,9.11,5,245,6.1,Tablet,India,Facebook,2,,Yes,Yes,Platinum,Net Banking,Yes,Night,1
41,28,Female,Edge,21.21,9,253,,Tablet,UK,Google,1,131.95,No,No,Gold,Net Banking,No,Morning,4
42,29,Female,Edge,,3,366,44.62,Desktop,Australia,Instagram,5,326.33,Yes,No,Gold,Net Banking,Yes,Evening,4
43,41,Female,Firefox,15.14,5,360,50.37,Desktop,Canada,Facebook,9,52.83,No,No,Gold,UPI,Yes,Night,1
44,30,Female,Firefox,20.34,7,266,26.95,Mobile,USA,Instagram,0,472.37,No,Yes,Silver,Credit Card,Yes,Morning,1
45,18,Female,Chrome,26.84,12,319,65.02,Mobile,India,Instagram,7,395.3,Yes,No,Silver,UPI,No,Evening,5
46,17,Male,Chrome,,7,226,33.58,Tablet,India,Facebook,4,108.47,No,Yes,Platinum,Credit Card,Yes,Evening,1
47,14,Female,Firefox,,10,345,36.72,Tablet,Australia,Direct,4,322.27,Yes,Yes,Gold,Credit Card,No,Night,1
48,21,Female,Firefox,21.64,8,141,78.26,Tablet,Canada,Direct,1,381.98,Yes,Yes,Platinum,Net Banking,No,Evening,1
49,23,Female,Firefox,28.28,17,591,55.2,Mobile,USA,Direct,6,112.63,No,Yes,Platinum,PayPal,No,Afternoon,3
,25,Female,Chrome,15.72,5,372,95.32,Desktop,USA,Instagram,4,55.73,Yes,No,Silver,PayPal,Yes,Morning,1
51,38,Female,Firefox,15.15,15,190,35.93,Desktop,USA,Google,7,,Yes,Yes,Silver,Net Banking,No,Night,1
52,22,Male,Firefox,15.86,9,273,82.78,Mobile,Australia,Google,4,76.52,No,Yes,Platinum,Credit Card,No,Morning,1
53,26,Female,Edge,17.25,11,195,73.83,Desktop,Australia,Instagram,8,287.2,Yes,No,Gold,UPI,No,Morning,5
54,17,Male,Edge,7.96,13,218,89.02,Desktop,Canada,Instagram,4,217.82,Yes,No,Silver,Net Banking,Yes,Afternoon,4
55,28,Female,Chrome,16.53,18,321,,Desktop,USA,Facebook,2,236.59,No,Yes,Silver,Net Banking,No,Evening,1
56,42,Male,Edge,16.37,17,439,0.77,Mobile,USA,Google,1,276,No,No,Silver,UPI,Yes,Afternoon,1
57,35,Male,Chrome,16.08,9,290,8.83,Tablet,Canada,Instagram,4,491.21,Yes,No,Platinum,Credit Card,No,Afternoon,5
58,36,Female,Safari,15.84,10,111,,Desktop,Canada,Direct,9,398.39,Yes,Yes,Silver,Net Banking,No,Evening,4
59,35,Male,Firefox,,5,239,39.02,Desktop,Canada,Google,9,318.44,No,No,Gold,Net Banking,Yes,Night,5
60,22,Male,Chrome,4.49,11,245,81.91,Tablet,India,Instagram,4,188.22,Yes,Yes,Silver,Credit Card,No,Morning,2
61,,Female,Edge,,15,309,1.2,Desktop,Canada,Facebook,5,23.26,No,Yes,Platinum,UPI,No,Night,2
62,37,Male,Safari,19.28,2,286,80.7,Desktop,UK,Facebook,1,67.1,Yes,No,Platinum,UPI,No,Night,2
63,45,Male,Edge,20.45,14,80,13.52,Tablet,Australia,Google,4,368.12,No,No,Platinum,PayPal,Yes,Afternoon,1
64,39,Male,Chrome,,5,208,29.02,Mobile,Canada,Direct,0,190.91,Yes,No,Platinum,PayPal,Yes,Evening,5
,44,Female,Safari,10.22,6,189,96.91,Mobile,India,Google,2,173.87,Yes,Yes,Gold,UPI,Yes,Evening,1
66,,Female,Edge,18.58,15,390,5.16,Desktop,UK,Instagram,2,445.6,No,No,Platinum,PayPal,No,Morning,2
67,20,Female,Safari,16.36,4,271,34.9,Desktop,India,Direct,2,247.41,Yes,Yes,Silver,PayPal,No,Evening,4
68,,Female,Firefox,14.39,10,100,8.45,Tablet,India,Instagram,2,450.79,No,No,Gold,Credit Card,No,Night,4
69,43,Male,Firefox,19.31,19,213,85.36,Tablet,India,Direct,7,444.45,No,Yes,Platinum,Net Banking,Yes,Evening,5
70,21,Female,Safari,9.11,9,417,70.3,Desktop,India,Direct,0,49.29,No,No,Platinum,PayPal,Yes,Evening,4
,46,Male,Edge,20.8,10,240,80.03,Desktop,USA,Instagram,5,473.23,Yes,Yes,Gold,PayPal,Yes,Night,2
72,31,Female,Edge,7.49,4,232,52.73,Mobile,Australia,Google,5,47.71,Yes,No,Silver,Credit Card,No,Morning,5
73,,Female,Edge,10.87,4,283,35.77,Mobile,USA,Facebook,0,482.12,No,No,Gold,UPI,Yes,Morning,5
74,31,Male,Firefox,9.8,6,323,0.23,Mobile,UK,Direct,0,231.78,No,No,Silver,PayPal,Yes,Night,2
75,31,Male,Chrome,12.09,8,286,27.79,Mobile,USA,Direct,2,382.82,No,No,Silver,Net Banking,No,Evening,2
,36,Female,Chrome,16.53,16,402,51.46,Tablet,UK,Facebook,7,356.01,Yes,No,Platinum,PayPal,Yes,Evening,2
77,31,Female,Safari,18.39,8,286,66.44,Mobile,Canada,Google,5,264.06,No,Yes,Gold,Net Banking,No,Morning,2
78,39,Female,Edge,14.59,16,367,22.89,Mobile,UK,Facebook,3,,No,Yes,Gold,UPI,No,Morning,5
79,25,Female,Safari,8.61,6,320,13.89,Desktop,USA,Google,4,475.46,Yes,No,Platinum,PayPal,Yes,Morning,4
80,37,Female,Chrome,5,17,171,20.16,Mobile,USA,Direct,9,464.4,No,Yes,Platinum,Net Banking,Yes,Afternoon,2
81,27,Male,Chrome,19.23,1,479,35.41,Desktop,UK,Direct,2,,Yes,Yes,Silver,Net Banking,No,Morning,3
82,33,Female,Edge,,19,416,14.84,Desktop,USA,Instagram,5,332.28,No,No,Platinum,Net Banking,Yes,Evening,5
83,21,Male,Safari,20.35,18,243,15.68,Mobile,UK,Google,5,131,No,No,Gold,UPI,No,Morning,1
84,44,Female,Edge,,17,289,4.38,Mobile,India,Facebook,5,416.03,No,Yes,Platinum,Net Banking,Yes,Evening,4
85,31,Female,Chrome,18.34,17,362,85.67,Desktop,Australia,Google,8,319.98,Yes,Yes,Platinum,Credit Card,Yes,Evening,5
86,44,Male,Chrome,,12,318,21.98,Tablet,UK,Google,9,414.86,Yes,No,Platinum,UPI,No,Evening,2
87,,Female,Edge,17.4,12,311,,Desktop,India,Google,7,332.35,Yes,No,Platinum,Net Banking,No,Morning,3
,,Male,Safari,12.6,6,351,43.83,Tablet,India,Google,5,156.67,No,No,Platinum,UPI,Yes,Morning,1
89,44,Male,Firefox,10.93,7,335,63.24,Tablet,India,Facebook,1,102.85,No,Yes,Silver,UPI,Yes,Night,4
90,23,Female,Edge,16.16,8,336,7.57,Mobile,India,Instagram,3,47.71,No,No,Platinum,Credit Card,No,Morning,2
91,26,Male,Chrome,15.9,3,309,58.36,Mobile,UK,Direct,5,,No,Yes,Platinum,Net Banking,Yes,Morning,5
92,43,Female,Firefox,19.56,17,364,29,Mobile,USA,Facebook,8,149.19,Yes,No,Gold,UPI,Yes,Morning,5
93,48,Female,Edge,8.58,8,321,9.52,Mobile,India,Facebook,1,318.95,No,No,Platinum,UPI,Yes,Afternoon,4
94,35,Female,Firefox,19.64,11,323,90.82,Desktop,Canada,Direct,5,38.74,No,Yes,Gold,Net Banking,No,Morning,3
95,25,Female,Edge,15.65,18,437,60.36,Tablet,India,Instagram,9,194.07,Yes,No,Gold,Credit Card,Yes,Afternoon,2
96,32,Female,Chrome,20.34,16,343,24.17,Desktop,USA,Facebook,9,137.67,No,Yes,Gold,PayPal,Yes,Evening,4
97,55,Female,Edge,20.29,13,333,41.96,Tablet,USA,Direct,9,,Yes,Yes,Gold,Net Banking,Yes,Evening,4
98,22,Female,Firefox,2.83,9,211,35.69,Desktop,Australia,Instagram,6,36.6,No,Yes,Silver,PayPal,No,Evening,5
99,40,Male,Safari,20.24,19,216,70.06,Tablet,Australia,Instagram,7,364.85,Yes,No,Silver,Net Banking,No,Evening,4
100,36,Female,Chrome,20.47,7,414,60.74,Mobile,India,Google,8,67.18,No,No,Gold,Net Banking,Yes,Afternoon,1
101,23,Male,Chrome,8.71,17,357,,Tablet,India,Facebook,4,17.06,Yes,No,Silver,UPI,No,Afternoon,1
102,,Female,Firefox,7.19,8,392,19.78,Mobile,Australia,Instagram,8,473.68,Yes,Yes,Silver,Net Banking,No,Evening,2
103,17,Female,Edge,18.87,8,320,47.81,Tablet,India,Facebook,8,104.51,No,No,Platinum,Credit Card,Yes,Morning,4
104,38,Male,Edge,15.57,3,340,,Desktop,Canada,Direct,6,415.75,No,No,Silver,Credit Card,Yes,Evening,5
105,39,Male,Edge,11.79,16,285,51.67,Tablet,UK,Facebook,1,482.59,Yes,No,Gold,Net Banking,No,Evening,2
106,,Male,Chrome,22.19,12,297,71.48,Desktop,Australia,Instagram,7,271.72,Yes,No,Gold,UPI,Yes,Afternoon,3
107,41,Male,Chrome,16.51,15,258,68.2,Desktop,Australia,Direct,4,267.8,No,No,Gold,UPI,Yes,Evening,5
108,28,Female,Firefox,4.57,4,433,37.28,Mobile,USA,Direct,7,190.03,Yes,Yes,Gold,PayPal,Yes,Afternoon,3
109,27,Female,Edge,9.91,7,229,87.76,Tablet,India,Google,1,218.54,No,No,Platinum,Net Banking,Yes,Night,2
110,25,Male,Edge,20.21,11,331,6.29,Desktop,Australia,Direct,6,246.22,No,No,Silver,PayPal,No,Afternoon,1
111,42,Female,Firefox,15.18,5,284,58.45,Tablet,Australia,Instagram,4,,No,No,Gold,UPI,No,Evening,5
112,18,Male,Chrome,11.4,13,395,94.97,Mobile,Canada,Google,3,,No,Yes,Platinum,Credit Card,Yes,Morning,5
113,19,Male,Chrome,17.26,11,323,54.91,Mobile,India,Instagram,9,409.89,No,No,Gold,UPI,Yes,Afternoon,2
114,29,Male,Safari,11.96,5,346,45.51,Tablet,UK,Instagram,5,99.38,No,Yes,Silver,Credit Card,No,Afternoon,5
115,29,Male,Safari,8.76,8,321,13.39,Desktop,Canada,Google,4,367.63,Yes,Yes,Platinum,PayPal,Yes,Afternoon,5
116,41,Male,Edge,20.08,17,201,81.02,Desktop,UK,Google,5,329.28,No,No,Silver,UPI,Yes,Evening,2
117,34,Female,Chrome,20.84,11,355,37.38,Desktop,USA,Facebook,8,38.08,Yes,Yes,Platinum,Credit Card,Yes,Evening,4
118,34,Male,Edge,17.41,19,290,70.12,Tablet,Australia,Instagram,0,20.99,No,Yes,Gold,PayPal,No,Afternoon,2
119,19,Male,Chrome,7.33,18,224,19.75,Desktop,Canada,Facebook,0,182.74,No,Yes,Gold,UPI,Yes,Morning,5
120,33,Female,Safari,24.25,10,159,4.19,Desktop,UK,Direct,5,349.16,No,No,Silver,Net Banking,Yes,Evening,2
121,11,Male,Firefox,,5,218,30.55,Desktop,India,Direct,1,171.9,Yes,Yes,Silver,UPI,Yes,Morning,5
122,37,Male,Chrome,21.37,1,376,28.14,Mobile,USA,Facebook,7,337.19,No,No,Platinum,PayPal,Yes,Night,3
123,42,Female,Safari,16.52,17,476,87.35,Desktop,USA,Google,6,336.07,No,No,Silver,UPI,Yes,Morning,3
124,27,Female,Safari,15.46,17,312,86.47,Tablet,Australia,Direct,5,405.21,No,Yes,Silver,PayPal,No,Evening,1
125,39,Female,Chrome,17.19,1,200,53.39,Tablet,Australia,Google,3,,No,Yes,Gold,Credit Card,Yes,Afternoon,2
126,31,Female,Edge,9.29,1,342,1.9,Desktop,UK,Facebook,8,,Yes,Yes,Gold,UPI,No,Night,2
,47,Female,Chrome,12.28,9,408,,Tablet,UK,Google,6,40.62,Yes,No,Gold,PayPal,No,Morning,3
128,37,Male,Safari,12.07,4,492,,Tablet,USA,Instagram,6,96.21,No,No,Gold,PayPal,Yes,Afternoon,3
129,,Male,Chrome,18.04,9,426,10.14,Desktop,UK,Direct,4,169.5,No,Yes,Gold,Net Banking,Yes,Night,3
130,47,Male,Firefox,16.24,14,322,70.06,Mobile,Australia,Google,0,356.62,Yes,Yes,Gold,Credit Card,Yes,Morning,1
131,43,Female,Edge,,15,358,,Desktop,USA,Google,1,487.2,No,No,Gold,Net Banking,Yes,Afternoon,1
132,31,Female,Chrome,7.04,16,228,68.25,Tablet,USA,Instagram,7,,Yes,No,Platinum,Net Banking,Yes,Night,4
133,40,Female,Safari,16.78,16,380,,Tablet,India,Google,4,265.36,Yes,No,Gold,UPI,Yes,Evening,2
,40,Female,Safari,9.68,13,393,46.92,Desktop,India,Facebook,1,136.94,Yes,Yes,Gold,PayPal,Yes,Morning,1
135,31,Female,Edge,8.72,14,50,82.91,Tablet,UK,Facebook,4,340.99,Yes,Yes,Gold,PayPal,Yes,Morning,5
136,36,Female,Chrome,25.48,9,314,78.15,Mobile,UK,Facebook,7,189.63,Yes,No,Gold,PayPal,Yes,Night,2
137,37,Male,Safari,26.55,9,449,67.14,Desktop,Australia,Direct,3,245.98,Yes,No,Gold,UPI,Yes,Morning,4
138,28,Female,Edge,12.75,4,233,44.51,Tablet,Australia,Google,2,288.23,Yes,Yes,Silver,UPI,No,Afternoon,3
139,48,Male,Firefox,5.88,10,87,27.19,Mobile,India,Direct,4,346.26,No,No,Silver,Credit Card,Yes,Morning,4
,15,Male,Edge,21.05,3,297,86.09,Tablet,USA,Direct,6,39.43,Yes,Yes,Gold,Net Banking,Yes,Morning,2
141,42,Male,Chrome,,9,408,64.86,Mobile,Canada,Google,1,281.9,No,No,Gold,Credit Card,Yes,Afternoon,3
,23,Female,Chrome,18.85,19,340,,Tablet,Canada,Google,0,221.27,No,No,Gold,Credit Card,No,Afternoon,4
143,33,Female,Safari,11.83,16,303,55.2,Desktop,UK,Facebook,4,,No,No,Platinum,UPI,No,Evening,4
144,19,Female,Firefox,9.81,16,207,,Tablet,Canada,Direct,6,111.94,Yes,No,Gold,PayPal,No,Afternoon,2
145,22,Female,Chrome,13.8,17,190,97.94,Desktop,Canada,Direct,7,443.11,Yes,Yes,Platinum,UPI,Yes,Morning,1
,34,Female,Safari,15.87,18,318,18.27,Mobile,India,Google,7,437.17,Yes,No,Platinum,UPI,No,Night,5
147,36,Male,Edge,11.34,10,294,91.12,Mobile,USA,Direct,9,26.33,No,No,Gold,UPI,Yes,Morning,4
148,46,Male,Edge,21.48,19,385,20.81,Tablet,Australia,Instagram,8,347.81,No,Yes,Silver,Credit Card,Yes,Evening,5
149,31,Female,Chrome,6.31,15,344,37.37,Desktop,India,Google,0,281.55,No,Yes,Gold,PayPal,No,Night,2
150,41,Male,Firefox,17.05,15,226,44.01,Desktop,Australia,Facebook,6,,No,Yes,Gold,UPI,Yes,Evening,2
151,35,Male,Safari,15.63,11,326,92.14,Mobile,India,Instagram,9,454.92,Yes,No,Silver,Credit Card,No,Morning,1
152,41,Female,Chrome,21.09,8,309,88.82,Mobile,India,Instagram,7,293.99,No,Yes,Silver,UPI,No,Afternoon,3
,24,Male,Safari,10.2,16,134,82.32,Tablet,Canada,Facebook,5,,Yes,No,Gold,Net Banking,No,Night,5
154,36,Male,Edge,18.53,10,258,37.67,Mobile,Australia,Instagram,9,235.31,No,Yes,Gold,PayPal,Yes,Morning,4
155,,Female,Safari,17.39,9,306,0.45,Mobile,India,Instagram,3,365.33,Yes,No,Platinum,Credit Card,Yes,Night,3
156,,Male,Edge,,15,289,68.16,Desktop,Canada,Instagram,6,,No,Yes,Silver,Net Banking,Yes,Evening,5
,39,Female,Firefox,10.57,5,332,41.1,Desktop,UK,Direct,2,188.28,Yes,Yes,Platinum,UPI,Yes,Morning,5
158,40,Female,Firefox,,2,308,75.71,Desktop,Australia,Instagram,1,394.49,No,Yes,Platinum,Net Banking,No,Night,3
,30,Female,Edge,13.52,16,334,79.49,Mobile,India,Instagram,5,344.84,Yes,No,Platinum,Net Banking,Yes,Morning,3
160,43,Male,Chrome,,18,317,43.97,Tablet,UK,Google,1,,Yes,No,Platinum,Credit Card,No,Morning,1
161,12,Male,Edge,,16,298,74.81,Tablet,Canada,Facebook,5,283.41,Yes,Yes,Silver,PayPal,Yes,Evening,4
162,16,Male,Safari,15.68,5,316,83.99,Mobile,India,Direct,9,99.92,No,No,Silver,PayPal,No,Evening,4
163,25,Female,Safari,18.97,1,264,92.85,Tablet,Canada,Direct,2,,Yes,No,Silver,Credit Card,No,Evening,4
,38,Male,Safari,7.74,19,258,58.25,Mobile,Canada,Facebook,1,308.94,Yes,No,Gold,UPI,Yes,Afternoon,3
,27,Male,Chrome,5.79,10,310,77.85,Tablet,Canada,Direct,7,,Yes,No,Platinum,Net Banking,No,Night,1
166,22,Female,Firefox,14.11,13,99,49.46,Mobile,Australia,Direct,3,468.34,Yes,No,Gold,PayPal,Yes,Evening,2
167,34,Female,Firefox,,11,263,4.17,Desktop,UK,Direct,3,14.59,Yes,Yes,Silver,PayPal,Yes,Afternoon,1
168,36,Female,Safari,15.2,15,229,15.52,Tablet,UK,Google,6,49.21,No,No,Silver,Net Banking,No,Afternoon,3
169,29,Male,Chrome,10.78,2,217,12.82,Desktop,USA,Google,7,386.88,Yes,Yes,Gold,UPI,Yes,Night,1
170,,Female,Safari,16.53,6,268,17.18,Desktop,India,Direct,8,345.97,No,Yes,Platinum,Net Banking,No,Night,3
171,35,Male,Firefox,,11,166,1.02,Tablet,Canada,Facebook,9,402.46,Yes,Yes,Silver,Credit Card,Yes,Evening,5
172,43,Female,Edge,17.81,15,269,85.87,Mobile,India,Facebook,7,140.74,No,No,Platinum,Credit Card,No,Afternoon,5
173,,Female,Safari,10.6,9,323,56.01,Desktop,UK,Google,3,,No,No,Platinum,UPI,No,Night,2
,,Female,Safari,5.68,12,405,38.32,Desktop,UK,Google,1,,No,Yes,Silver,PayPal,Yes,Night,5
175,29,Female,Safari,19.26,4,520,40.98,Mobile,Canada,Instagram,9,138.34,No,Yes,Gold,PayPal,Yes,Night,2
176,29,Male,Firefox,11.16,14,117,46.34,Mobile,Australia,Google,4,15.2,No,Yes,Platinum,UPI,No,Night,4
177,36,Male,Chrome,21.86,3,207,7.39,Tablet,Canada,Direct,6,436.97,No,Yes,Gold,UPI,Yes,Afternoon,3
,36,Male,Edge,11.79,17,269,,Tablet,Canada,Google,1,272.32,Yes,No,Platinum,Credit Card,No,Morning,4
179,13,Female,Edge,10.89,13,314,85.16,Mobile,USA,Instagram,3,487.94,Yes,Yes,Platinum,Credit Card,Yes,Night,4
180,34,Male,Edge,13.58,8,336,74.37,Desktop,Australia,Instagram,5,,Yes,Yes,Silver,UPI,No,Afternoon,2
181,41,Female,Safari,12.2,12,239,56.34,Mobile,India,Facebook,7,49.4,Yes,No,Gold,PayPal,Yes,Night,3
182,45,Female,Firefox,15.63,12,47,48.07,Tablet,Australia,Facebook,9,298.21,No,Yes,Platinum,Net Banking,No,Afternoon,2
183,34,Male,Edge,17.01,12,403,25.9,Desktop,Canada,Direct,5,18.39,No,No,Gold,Net Banking,Yes,Evening,1
184,,Female,Safari,17.77,2,350,47.13,Desktop,Canada,Google,5,283.31,No,Yes,Platinum,Net Banking,Yes,Morning,4
185,42,Female,Chrome,14.57,10,371,59.79,Tablet,Canada,Instagram,5,181.6,Yes,No,Gold,Credit Card,No,Afternoon,3
186,53,Male,Safari,7.5,9,279,71.26,Desktop,Canada,Instagram,3,325.21,Yes,No,Gold,UPI,No,Afternoon,4
187,,Male,Edge,23.62,1,335,16.66,Mobile,Canada,Facebook,2,275.37,No,No,Silver,PayPal,No,Afternoon,1
188,,Female,Edge,13.15,4,100,81.31,Tablet,Australia,Facebook,0,138.06,Yes,Yes,Platinum,Credit Card,No,Night,1
189,48,Male,Chrome,12.89,14,193,34.58,Desktop,Canada,Google,1,89.55,No,No,Platinum,UPI,No,Evening,3
190,24,Female,Firefox,14.56,16,419,,Tablet,UK,Instagram,1,208.31,No,Yes,Platinum,UPI,No,Night,3
191,36,Male,Chrome,13.69,18,303,60.79,Desktop,UK,Facebook,9,,Yes,No,Platinum,Net Banking,Yes,Evening,1
192,59,Female,Chrome,6.25,2,487,48.81,Mobile,USA,Google,6,223.49,No,No,Silver,Net Banking,Yes,Morning,4
193,40,Female,Edge,17.87,6,203,57.2,Tablet,India,Google,5,376.91,Yes,No,Silver,PayPal,No,Night,5
194,43,Female,Edge,,3,555,11.15,Desktop,UK,Google,7,37.92,Yes,Yes,Platinum,PayPal,Yes,Afternoon,4
195,32,Male,Firefox,13.38,19,570,43.22,Mobile,USA,Facebook,8,195.64,Yes,No,Gold,Net Banking,No,Morning,5
196,41,Male,Edge,23.8,13,236,28.05,Mobile,Australia,Facebook,4,,Yes,No,Silver,Net Banking,Yes,Night,2
197,47,Female,Chrome,19.72,17,255,,Mobile,India,Facebook,2,378.09,No,No,Gold,UPI,No,Evening,3
,20,Male,Chrome,23.06,14,425,19.16,Desktop,Canada,Direct,3,268.91,No,No,Gold,PayPal,No,Night,1
199,34,Male,Firefox,11.61,11,244,60.24,Desktop,Canada,Direct,7,262.49,No,Yes,Gold,UPI,Yes,Night,2
200,38,Male,Edge,18.65,16,273,19.67,Mobile,Australia,Direct,2,384.31,No,Yes,Platinum,PayPal,No,Afternoon,4
,,Female,Edge,17.02,11,227,18.11,Mobile,India,Facebook,1,163.51,Yes,No,Silver,PayPal,Yes,Afternoon,5
202,30,Male,Chrome,,18,229,55.28,Mobile,UK,Facebook,6,54.4,Yes,No,Platinum,Credit Card,Yes,Morning,3
,49,Male,Chrome,11.25,2,312,90.47,Mobile,India,Direct,3,180.1,No,No,Gold,Net Banking,Yes,Afternoon,5
204,37,Male,Edge,,8,273,78.87,Mobile,USA,Instagram,7,87.91,Yes,No,Platinum,Credit Card,Yes,Night,4
205,28,Female,Safari,12.43,14,91,90.51,Desktop,Australia,Instagram,0,483.31,Yes,Yes,Gold,PayPal,Yes,Night,4
206,45,Female,Chrome,15.68,2,444,58.3,Tablet,UK,Instagram,7,292.98,No,No,Platinum,UPI,Yes,Evening,1
207,49,Female,Chrome,19.57,13,460,40.99,Tablet,India,Instagram,4,228.83,No,No,Platinum,PayPal,Yes,Night,2
208,46,Male,Chrome,10.12,10,351,72.96,Tablet,India,Direct,1,456.91,Yes,Yes,Silver,Credit Card,Yes,Morning,3
209,31,Female,Firefox,9.56,8,313,26.14,Desktop,UK,Google,0,451.18,No,No,Silver,Net Banking,Yes,Morning,1
210,31,Male,Edge,27.58,7,206,,Tablet,USA,Google,5,213.69,Yes,No,Gold,UPI,Yes,Afternoon,5
211,,Male,Edge,10.7,13,254,34.46,Tablet,USA,Instagram,8,438.62,Yes,Yes,Gold,PayPal,No,Evening,2
